trap_id,code,line_id,trap_number,project_id,cat_trap,inactive,sponsor_id,trap_type_id,to_be_replaced,to_be_maintained,name,trapcode,long,lat,ele,project_id2,easting,northing,line_id3,code4,name5,project_id6,associated_cat_traps,Reserve/Area
933,ST03,61,603,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST03,177.1123932,-38.0436436,53,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
934,ST04,61,604,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST04,177.1107484,-38.0439047,67.2,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
935,ST05,61,605,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST05,177.1091148,-38.0435521,71.3,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
936,ST06,61,606,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST06,177.107721,-38.0428314,72.2,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
937,ST07,61,607,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST07,177.1063027,-38.0420533,77.8,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
938,ST08,61,608,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST08,177.10523,-38.0431611,85.2,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
939,ST09,61,609,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST09,177.1039347,-38.0440439,94.8,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
940,ST10,61,610,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST10,177.1025319,-38.0449309,98.9,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
941,ST11,61,611,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST11,177.1010939,-38.0448662,104.9,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
942,ST12,61,612,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST12,177.1007014,-38.0435784,110.9,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
943,ST13,61,613,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST13,177.0995942,-38.0440076,110.7,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
944,ST14,61,614,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST14,177.0979078,-38.0438039,110.4,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
945,ST15,61,615,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST15,177.0962842,-38.0432328,103.9,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
946,ST16,61,616,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST16,177.0955213,-38.0420547,94.1,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
947,ST17,61,617,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST17,177.0949588,-38.0407587,88.3,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
948,ST18,61,618,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST18,177.0940418,-38.0396586,81.4,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
949,ST19,61,619,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST19,177.0924826,-38.0390778,91.9,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
987,AY06,64,694,1,NULL,NULL,NULL,1,NULL,NULL,NULL,AY06,177.0909004,-38.0329079,117.9,1,NULL,NULL,64,AY,Ayers Lines,1,NULL,Wainui
950,ST20,61,620,1,NULL,NULL,NULL,2,NULL,NULL,NULL,ST20,177.0907691,-38.0394122,100.6,1,NULL,NULL,61,ST,Stanley Road,1,NULL,Wainui
982,AY01,64,689,1,NULL,NULL,NULL,1,NULL,NULL,NULL,AY01,177.0906678,-38.0380031,104.2,1,NULL,NULL,64,AY,Ayers Lines,1,NULL,Wainui
986,AY05,64,693,1,NULL,NULL,NULL,1,NULL,NULL,NULL,AY05,177.0903698,-38.0332019,117.2,1,NULL,NULL,64,AY,Ayers Lines,1,NULL,Wainui
983,AY02,64,690,1,NULL,NULL,NULL,1,NULL,NULL,NULL,AY02,177.0901462,-38.0366691,103.9,1,NULL,NULL,64,AY,Ayers Lines,1,NULL,Wainui
